date,incumbent,solver_status,solver_message,objective,best_bound,mip_gap,node_count,runtime_seconds,q_plan,cost_plan,emergency_energy,cost_em,cost_total,emergency_periods,emergency_segments,charge_total,discharge_total,curtail_plan_total,curtail_act_total,E_0,E_144,gates_all_pass
2025-02-01,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),20623.88166965426,20623.881669654256,1.763964158330385e-16,1.0,0.14053919999787468,38221.338517078184,20623.881669654256,3963.5746610000033,18058.790759424683,38682.67242907894,34,2,18010.937867078188,14588.859672333332,256.08563899999626,4384.659049999999,6000.0,6000.0,True
2025-02-02,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),52473.598915823146,52473.598915823146,0.0,1.0,0.06595709999965038,84399.82723045268,52473.598915823146,2576.368666666666,12421.47890728333,64895.077823106476,28,7,24217.18989711934,19615.923816666662,0.0,4018.6518666666675,6000.0,6000.0,True
2025-02-03,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),55026.69350105999,55026.69350106,0.0,1.0,0.08775219999733963,88036.56763333332,55026.69350106,2007.264149999999,9403.640538941663,64430.33404000166,19,4,24833.333333333332,20115.0,0.0,5108.58195,6000.0,6000.0,True
2025-02-04,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56045.49893456833,56045.49893456833,0.0,1.0,0.03207739999925252,89295.94271666666,56045.49893456833,2510.8321833333325,11580.941265499996,67626.44020006832,26,5,25666.666666666664,20790.0,0.0,5735.244283333333,6000.0,6000.0,True
2025-02-05,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),52740.988818328595,52740.988818328595,0.0,1.0,0.08711989999937941,84644.98419864608,52740.988818328595,4134.430716666668,17377.498426066668,70118.48724439526,39,2,24580.52350164609,19910.224036333333,0.0,3360.688466666667,6000.0,6000.0,True
2025-02-06,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56810.75382177823,56810.75382177823,0.0,1.0,0.092479099999764,90656.13744897119,56810.75382177823,2278.973383333333,10993.604933608332,67804.35875538657,23,5,25529.763415637863,20679.108366666667,0.0,7813.398566666666,6000.0,6000.0,True
2025-02-07,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),21144.12139582062,21144.12139582062,0.0,1.0,0.09731409999949392,39553.82654218107,21144.12139582062,2613.041966666666,12311.30095943333,33455.42235525395,27,5,18341.371625514406,14856.511016666664,0.0,6876.328233333333,6000.0,6000.0,True
2025-02-08,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),18787.698275624687,18787.698275624687,0.0,1.0,0.1780789000004006,35425.13346152263,18787.698275624687,2875.1766833333368,11159.856123183345,29947.55439880803,37,9,17157.240411522635,13897.364733333334,4212.634566666663,3463.271749999998,6000.0,6000.0,True
2025-02-09,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),53829.00157651147,53829.00157651148,0.0,1.0,0.05789809999987483,85970.8027563786,53829.00157651147,1594.3492166666663,6664.394069333332,60493.39564584481,28,9,24549.9441563786,19885.454766666666,0.0,3345.2466166666663,6000.0,6000.0,True
2025-02-10,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),50509.656432157215,50509.656432157215,0.0,1.0,0.08056949999809149,81685.42790679011,50509.65643215722,1878.1984000000002,8609.294238474999,59118.95067063222,19,5,24055.076790123454,19484.612199999996,0.0,4666.524133333332,6000.0,6000.0,True
2025-02-11,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),51584.16103331915,51584.16103331915,0.0,1.0,0.0631299000015133,82770.11567773044,51584.16103331915,4084.752366666666,18224.444938774992,69808.60597209414,36,1,25072.09505823045,20308.396997166667,0.0,6870.572849999999,6000.0,6000.0,True
2025-02-12,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),51594.48331079017,51594.48331079017,0.0,1.0,0.0556585999984236,82719.79079287447,51594.48331079017,1825.8661666666665,8624.711979666665,60219.19529045684,20,6,24707.775313374485,20013.29800383333,0.0,4584.443516666665,6000.0,6000.0,True
