draw,price_factor,load_factor,pv_factor,status,cost_day,q_day,curtail_total,gates_all_pass,periods
1,0.9732300066028816,1.0328105719911762,1.002796934965457,0,36437.55083346044,63120.47175676346,0.0,True,144
2,1.0405602929291544,0.9667562546531613,1.0235755857149027,0,33350.58394020974,54402.108562015026,0.0,True,144
3,1.0405284283685274,0.9855640708932178,1.0314780219428057,0,34493.65127742474,56117.37002073692,0.0,True,144
4,1.0165783875402672,0.9742937143850322,1.0284355471304008,0,32978.70134470893,54991.371317546524,0.0,True,144
5,1.027738472388578,0.9993603425732409,1.008591537058243,0,35785.41063624657,58906.789995410465,0.0,True,144
6,1.0128853051749613,1.0012674259022007,0.9960165808769142,0,35796.173025871605,59862.2009345285,0.0,True,144
7,1.028287189974952,0.9818858267379897,0.9832000465608162,0,35302.08923119643,58365.17219632714,0.0,True,144
8,1.011010758337878,1.0166847041686249,0.9762550140442869,0,37500.571006809936,62809.1806167369,0.0,True,144
9,0.9934385788797161,0.9668577183049866,0.9685609706518771,0,33472.07976455506,57478.99489219925,0.0,True,144
10,1.045866521619518,1.0356350140894754,1.0442160366810105,0,38024.312972508065,61028.962611944335,0.0,True,144
11,1.0084772205369987,0.994373142961685,0.9632648713917915,0,36162.55169427287,60982.7805100713,0.0,True,144
12,1.0067888632400162,0.9795453140615584,0.9894545566068131,0,34204.566071422305,57728.69502508304,0.0,True,144
13,1.0369749579370506,1.0363625979944473,0.9502523434680069,0,40947.735036540034,66473.69646571693,0.0,True,144
14,1.0412065398867139,1.028941222410446,1.005604853403952,0,38589.16366555008,62511.14767571584,0.0,True,144
15,0.9947170428464328,0.9651919858729016,1.0070983768356718,0,32249.53227930828,55171.77908593191,0.0,True,144
16,1.0116040175806345,0.9806151567971749,1.0024476837681568,0,34049.285484560955,57093.773006966265,0.0,True,144
17,0.968933799611199,0.9615236330611868,1.034829227961283,0,30385.28992124824,53146.37070253187,0.0,True,144
18,1.0488239783144477,1.0458668325011078,0.9872955678019788,0,40847.012085151044,65449.399925679274,0.0,True,144
19,0.9538136384134897,1.046258082041653,1.0324158088504694,0,35760.531216709554,62948.97618399084,0.0,True,144
20,0.9875356614246182,0.9680674298635158,0.9809344529385801,0,32990.29185236021,56896.46931238954,0.0,True,144
21,0.988718963200036,1.0381304533237095,1.0057980953790984,0,37317.134097182105,63546.19197898047,0.0,True,144
22,1.025998307877621,0.987835963508026,1.0425524612517414,0,33844.472435074305,55737.86981308623,0.0,True,144
23,1.047693713476435,0.9546290809306208,1.0199298715805147,0,32795.640340889,53212.06996011971,0.0,True,144
24,1.0178591211312509,1.0081599625412696,1.0076262060250898,0,36117.4415232062,59982.712634535164,0.0,True,144
25,1.0422814593698624,0.9979845780287862,0.9786346535067019,0,37145.43976819928,60498.078377441045,0.0,True,144
26,0.9542819932460722,0.9699651680845539,1.0461567152956546,0,30181.905034135598,53466.02961361091,0.0,True,144
27,1.0489522924229788,1.0346396875645145,0.9708759030993407,0,40528.8957870282,65118.44124912289,0.0,True,144
28,1.0371374482013622,1.0492945664198137,1.0050987020074227,0,40042.40066973375,64832.36507907188,0.0,True,144
29,0.9692414780470839,0.9740725372282839,1.0196938405621072,0,31675.79714475004,55472.60971313332,0.0,True,144
30,0.9902188313244599,1.0243525394881883,1.032429570057315,0,35547.309011099685,60410.152527064434,0.0,True,144
31,1.0267445313092658,0.9711608096252302,1.001010198682367,0,33909.13897432487,56110.05268490009,0.0,True,144
32,0.9630952666919517,0.9685568621100397,0.9552759701077818,0,32959.366614681814,58451.78436912484,0.0,True,144
33,0.9625898919860619,1.043541327580109,1.0203928902805652,0,36263.99968720983,63331.32288622555,0.0,True,144
34,0.9617292925942229,0.9650675900036393,1.0218717101980639,0,30757.001137545416,54305.75063838564,0.0,True,144
35,0.9703119270730093,0.9647964903323288,1.0318111860996981,0,30734.984750249434,53698.18524334896,0.0,True,144
