date,slot,load_kw,actual_pv_kw,price,baseline_grid_kwh,adjusted_grid_kwh,charge_actual_kwh,discharge_actual_kwh,soc_actual_kwh,curtail_actual_kwh,emergency_kwh,revision_0,revision_6,revision_12,revision_18
2025-02-01,1,2532.1822,0.0,0.4248,422.0303666666667,422.0303666666667,0.0,0.0,6000.472249869357,0.0,0.0,422.0303666666667,nan,nan,nan
2025-02-01,2,2492.4439,0.0,0.4245,1135.9845731731457,1135.9845731731457,720.577256506479,0.0,6648.991780725189,0.0,0.0,1135.9845731731457,nan,nan,nan
2025-02-01,3,2464.3,0.0,0.4269,410.7166666666667,410.7166666666667,0.0,0.0,6648.991780725189,0.0,0.0,410.7166666666667,nan,nan,nan
2025-02-01,4,2581.7688,0.0,0.4272,430.29479999999995,430.29479999999995,0.0,0.0,6648.991780725189,0.0,0.0,430.29479999999995,nan,nan,nan
2025-02-01,5,2546.4635,0.0,0.4271,424.4105833333333,424.4105833333333,0.0,0.0,6648.991780725189,0.0,0.0,424.4105833333333,nan,nan,nan
2025-02-01,6,2436.31,0.0,0.4285,406.0516666666666,406.0516666666666,0.0,0.0,6648.991780725189,0.0,0.0,406.0516666666666,nan,nan,nan
2025-02-01,7,2620.5011,0.0,0.4311,436.7501833333333,436.7501833333333,0.0,0.0,6648.991780725189,0.0,0.0,436.7501833333333,nan,nan,nan
2025-02-01,8,2710.7861,0.0,0.4302,451.7976833333333,451.7976833333333,0.0,0.0,6648.991780725189,0.0,0.0,451.7976833333333,nan,nan,nan
2025-02-01,9,2676.48,0.0,0.4279,446.08,446.08,0.0,0.0,6648.991780725189,0.0,0.0,446.08,nan,nan,nan
2025-02-01,10,2830.598,0.0,0.4312,471.7663333333333,471.7663333333333,0.0,0.0,6648.991780725189,0.0,0.0,471.7663333333333,nan,nan,nan
2025-02-01,11,2688.1558,0.0,0.4333,448.02596666666665,448.02596666666665,0.0,0.0,6648.991780725189,0.0,0.0,448.02596666666665,nan,nan,nan
2025-02-01,12,2384.42,0.0,0.4311,397.4033333333333,397.4033333333333,0.0,0.0,6648.991780725189,0.0,0.0,397.4033333333333,nan,nan,nan
2025-02-01,13,2604.5438,0.0,0.4293,434.0906333333333,434.0906333333333,0.0,0.0,6648.991780725189,0.0,0.0,434.0906333333333,nan,nan,nan
2025-02-01,14,2943.3655,0.0,0.4324,490.5609166666666,490.5609166666666,0.0,0.0,6648.991780725189,0.0,0.0,490.5609166666666,nan,nan,nan
2025-02-01,15,3019.32,0.0,0.4367,503.22,503.22,0.0,0.0,6648.991780725189,0.0,0.0,503.22,nan,nan,nan
2025-02-01,16,2844.4369,0.0,0.4348,474.07281666666665,474.07281666666665,0.0,0.0,6648.991780725189,0.0,0.0,474.07281666666665,nan,nan,nan
2025-02-01,17,2768.3064,0.0,0.4335,461.38439999999997,461.38439999999997,0.0,0.0,6648.991780725189,0.0,0.0,461.38439999999997,nan,nan,nan
