date,slot,load_kw,actual_pv_kw,price,baseline_grid_kwh,adjusted_grid_kwh,charge_actual_kwh,discharge_actual_kwh,soc_actual_kwh,curtail_actual_kwh,emergency_kwh,revision_0,revision_6,revision_12,revision_18
2025-02-01,1,2532.1822,0.0,0.3281,422.0303666666667,422.0303666666667,0.0,0.0,6026.174466188293,0.0,0.0,422.0303666666667,nan,nan,nan
2025-02-01,2,2492.4439,0.0,0.3257,620.4820153182457,620.4820153182457,205.074698651579,0.0,6210.741694974714,0.0,0.0,620.4820153182457,nan,nan,nan
2025-02-01,3,2464.3,0.0,0.3041,1244.05,1244.05,833.3333333333333,0.0,6960.741694974714,0.0,0.0,1244.05,nan,nan,nan
2025-02-01,4,2581.7688,0.0,0.3126,1263.6281333333332,1263.6281333333332,833.3333333333333,0.0,7710.741694974714,0.0,0.0,1263.6281333333332,nan,nan,nan
2025-02-01,5,2546.4635,0.0,0.3286,424.4105833333333,424.4105833333333,0.0,0.0,7710.741694974714,0.0,0.0,424.4105833333333,nan,nan,nan
2025-02-01,6,2436.31,0.0,0.3438,406.0516666666666,406.0516666666666,0.0,0.0,7710.741694974714,0.0,0.0,406.0516666666666,nan,nan,nan
2025-02-01,7,2620.5011,0.0,0.3704,436.7501833333333,436.7501833333333,0.0,0.0,7710.741694974714,0.0,0.0,436.7501833333333,nan,nan,nan
2025-02-01,8,2710.7861,0.0,0.3746,451.7976833333333,451.7976833333333,0.0,0.0,7710.741694974714,0.0,0.0,451.7976833333333,nan,nan,nan
2025-02-01,9,2676.48,0.0,0.3606,446.08,446.08,0.0,0.0,7710.741694974714,0.0,0.0,446.08,nan,nan,nan
2025-02-01,10,2830.598,0.0,0.3582,471.7663333333333,471.7663333333333,0.0,0.0,7710.741694974714,0.0,0.0,471.7663333333333,nan,nan,nan
2025-02-01,11,2688.1558,0.0,0.3041,1281.3592999999998,1281.3592999999998,833.3333333333333,0.0,8460.741694974713,0.0,0.0,1281.3592999999998,nan,nan,nan
2025-02-01,12,2384.42,0.0,0.2537,1230.7366666666667,1230.7366666666667,833.3333333333333,0.0,9210.741694974713,0.0,0.0,1230.7366666666667,nan,nan,nan
2025-02-01,13,2604.5438,0.0,0.3346,434.0906333333333,434.0906333333333,0.0,0.0,9210.741694974713,0.0,0.0,434.0906333333333,nan,nan,nan
2025-02-01,14,2943.3655,0.0,0.3971,490.5609166666666,490.5609166666666,0.0,0.0,9210.741694974713,0.0,0.0,490.5609166666666,nan,nan,nan
2025-02-01,15,3019.32,0.0,0.367,503.22,503.22,0.0,0.0,9210.741694974713,0.0,0.0,503.22,nan,nan,nan
2025-02-01,16,2844.4369,0.0,0.3185,1307.4061499999998,1307.4061499999998,833.3333333333333,0.0,9960.741694974713,0.0,0.0,1307.4061499999998,nan,nan,nan
2025-02-01,17,2768.3064,0.0,0.3285,461.38439999999997,461.38439999999997,0.0,0.0,9960.741694974713,0.0,0.0,461.38439999999997,nan,nan,nan
2025-02-01,18,2861.65,0.0,0.3772,476.94166666666666,476.94166666666666,0.0,0.0,9960.741694974713,0.0,0.0,476.94166666666666,nan,nan,nan
2025-02-01,19,2900.3973,0.0,0.3815,483.39955,483.39955,0.0,0.0,9960.741694974713,0.0,0.0,483.39955,nan,nan,nan
2025-02-01,20,2919.6115,0.0,0.3822,486.6019166666666,486.6019166666666,0.0,0.0,9960.741694974713,0.0,0.0,486.6019166666666,nan,nan,nan
2025-02-01,21,2993.09,0.0,0.3962,498.84833333333336,498.84833333333336,0.0,0.0,9960.741694974713,0.0,0.0,498.84833333333336,nan,nan,nan
2025-02-01,22,3109.8584,0.0,0.3879,518.3097333333333,518.3097333333333,0.0,0.0,9960.741694974713,0.0,0.0,518.3097333333333,nan,nan,nan
