date,slot,load_kw,actual_pv_kw,forecast_pv_kw,price,grid_plan_kwh,charge_actual_kwh,discharge_actual_kwh,soc_actual_kwh,curtail_actual_kwh,emergency_kwh
2025-02-01,1,2532.1822,0.0,0.0,0.4248,1255.3636999999999,833.3333333333333,0.0,6750.3167690836135,0.0,0.0
2025-02-01,2,2492.4439,0.0,0.0,0.4245,1248.74065,833.3333333333333,0.0,7500.3167690836135,0.0,0.0
2025-02-01,3,2464.3,0.0,0.0,0.4269,1244.05,833.3333333333333,0.0,8250.316769083613,0.0,0.0
2025-02-01,4,2581.7688,0.0,0.0,0.4272,1263.6281333333332,833.3333333333333,0.0,9000.316769083613,0.0,0.0
2025-02-01,5,2546.4635,0.0,0.0,0.4271,1257.7439166666666,833.3333333333333,0.0,9750.316769083613,0.0,0.0
2025-02-01,6,2436.31,0.0,0.0,0.4285,406.0516666666666,0.0,0.0,9750.316769083613,0.0,0.0
2025-02-01,7,2620.5011,0.0,0.0,0.4311,436.7501833333333,0.0,0.0,9750.316769083613,0.0,0.0
2025-02-01,8,2710.7861,0.0,0.0,0.4302,451.7976833333333,0.0,0.0,9750.316769083613,0.0,0.0
2025-02-01,9,2676.48,0.0,0.0,0.4279,779.0613676848749,332.9813676848749,0.0,10050.0,0.0,0.0
2025-02-01,10,2830.598,0.0,0.0,0.4312,471.7663333333333,0.0,0.0,10050.0,0.0,0.0
2025-02-01,11,2688.1558,0.0,0.0,0.4333,448.02596666666665,0.0,0.0,10050.0,0.0,0.0
2025-02-01,12,2384.42,0.0,0.0,0.4311,397.4033333333333,0.0,0.0,10050.0,0.0,0.0
2025-02-01,13,2604.5438,0.0,0.0,0.4293,434.0906333333333,0.0,0.0,10050.0,0.0,0.0
2025-02-01,14,2943.3655,0.0,0.0,0.4324,490.5609166666666,0.0,0.0,10050.0,0.0,0.0
2025-02-01,15,3019.32,0.0,0.0,0.4367,503.22,0.0,0.0,10050.0,0.0,0.0
2025-02-01,16,2844.4369,0.0,0.0,0.4348,474.07281666666665,0.0,0.0,10050.0,0.0,0.0
2025-02-01,17,2768.3064,0.0,0.0,0.4335,461.38439999999997,0.0,0.0,10050.0,0.0,0.0
2025-02-01,18,2861.65,0.0,0.0,0.4357,476.94166666666666,0.0,0.0,10050.0,0.0,0.0
2025-02-01,19,2900.3973,0.0,0.0,0.4374,483.39955,0.0,0.0,10050.0,0.0,0.0
2025-02-01,20,2919.6115,0.0,0.0,0.4371,486.6019166666666,0.0,0.0,10050.0,0.0,0.0
2025-02-01,21,2993.09,0.0,0.0,0.4356,498.84833333333336,0.0,0.0,10050.0,0.0,0.0
2025-02-01,22,3109.8584,0.0,0.0,0.4353,518.3097333333333,0.0,0.0,10050.0,0.0,0.0
2025-02-01,23,3054.8008,0.0,0.0,0.436,509.13346666666666,0.0,0.0,10050.0,0.0,0.0
2025-02-01,24,2901.7,0.0,0.0,0.4378,483.6166666666666,0.0,0.0,10050.0,0.0,0.0
2025-02-01,25,2947.1208,0.0,0.0,0.4401,491.1868,0.0,0.0,10050.0,0.0,0.0
2025-02-01,26,3027.8717,0.0,0.0,0.4389,504.64528333333334,0.0,0.0,10050.0,0.0,0.0
2025-02-01,27,3033.47,0.0,0.0,0.4364,505.57833333333326,0.0,0.0,10050.0,0.0,0.0
2025-02-01,28,3019.3858,0.0,0.0,0.4393,503.23096666666663,0.0,0.0,10050.0,0.0,0.0
2025-02-01,29,3017.0819,0.0014,0.0,0.4422,502.84698333333336,0.0002333333333126575,0.0,10050.00021,0.0,0.0
2025-02-01,30,2997.85,0.0,0.0,0.4395,499.64166666666665,0.0,0.0,10050.00021,0.0,0.0
2025-02-01,31,2932.7015,0.0,0.0,0.4333,488.78358333333335,0.0,0.0,10050.00021,0.0,0.0
2025-02-01,32,2991.1125,0.0199,0.0,0.4439,498.51875,0.003316666666648871,0.0,10050.003195,0.0,0.0
2025-02-01,33,3175.34,0.0,0.0,0.4301,529.2233333333334,0.0,0.0,10050.003195,0.0,0.0
2025-02-01,34,3284.4619,0.0,0.0,0.3713,1380.74365,833.329783333334,0.0,10800.0,0.003549999999222564,0.0
2025-02-01,35,3187.3644,0.2774,0.0,0.5708,0.0003767371233607264,0.0,531.1807899295433,10209.799122300508,0.0,0.0
2025-02-01,36,3065.9,0.0,0.0,0.9099,0.0,0.0,510.98333333333335,9642.03986304125,0.0,0.0
2025-02-01,37,3211.1231,0.0,0.0,0.9368,0.0,0.0,535.1871833333332,9047.387437115323,0.0,0.0
2025-02-01,38,3203.9961,3.8641,0.0,0.8758,0.0,0.0,533.3553333333333,8454.770400078287,0.0,0.0
2025-02-01,39,3027.12,0.0,0.0,0.8759,0.0,0.0,504.52,7894.192622300509,0.0,0.0
