date,slot,load_kw,actual_pv_kw,forecast_pv_kw,price,grid_plan_kwh,charge_actual_kwh,discharge_actual_kwh,soc_actual_kwh,curtail_actual_kwh,emergency_kwh
2025-02-01,1,2532.1822,0.0,0.0,0.3281,422.0303666666667,0.0,0.0,6094.164645590184,0.0,0.0
2025-02-01,2,2492.4439,0.0,0.0,0.3257,644.1118649534426,228.70454828677583,0.0,6299.998739048282,0.0,0.0
2025-02-01,3,2464.3,0.0,0.0,0.3041,1244.05,833.3333333333333,0.0,7049.998739048282,0.0,0.0
2025-02-01,4,2581.7688,0.0,0.0,0.3126,1263.6281333333332,833.3333333333333,0.0,7799.998739048282,0.0,0.0
2025-02-01,5,2546.4635,0.0,0.0,0.3286,424.4105833333333,0.0,0.0,7799.998739048282,0.0,0.0
2025-02-01,6,2436.31,0.0,0.0,0.3438,406.0516666666666,0.0,0.0,7799.998739048282,0.0,0.0
2025-02-01,7,2620.5011,0.0,0.0,0.3704,436.7501833333333,0.0,0.0,7799.998739048282,0.0,0.0
2025-02-01,8,2710.7861,0.0,0.0,0.3746,451.7976833333333,0.0,0.0,7799.998739048282,0.0,0.0
2025-02-01,9,2676.48,0.0,0.0,0.3606,446.08,0.0,0.0,7799.998739048282,0.0,0.0
2025-02-01,10,2830.598,0.0,0.0,0.3582,471.7663333333333,0.0,0.0,7799.998739048282,0.0,0.0
2025-02-01,11,2688.1558,0.0,0.0,0.3041,1281.3592999999998,833.3333333333333,0.0,8549.998739048282,0.0,0.0
2025-02-01,12,2384.42,0.0,0.0,0.2537,1230.7366666666667,833.3333333333333,0.0,9299.998739048282,0.0,0.0
2025-02-01,13,2604.5438,0.0,0.0,0.3346,434.0906333333333,0.0,0.0,9299.998739048282,0.0,0.0
2025-02-01,14,2943.3655,0.0,0.0,0.3971,490.5609166666666,0.0,0.0,9299.998739048282,0.0,0.0
2025-02-01,15,3019.32,0.0,0.0,0.367,503.22,0.0,0.0,9299.998739048282,0.0,0.0
2025-02-01,16,2844.4369,0.0,0.0,0.3185,1307.4061499999998,833.3333333333333,0.0,10049.998739048282,0.0,0.0
2025-02-01,17,2768.3064,0.0,0.0,0.3285,461.38439999999997,0.0,0.0,10049.998739048282,0.0,0.0
2025-02-01,18,2861.65,0.0,0.0,0.3772,476.94166666666666,0.0,0.0,10049.998739048282,0.0,0.0
2025-02-01,19,2900.3973,0.0,0.0,0.3815,483.39955,0.0,0.0,10049.998739048282,0.0,0.0
2025-02-01,20,2919.6115,0.0,0.0,0.3822,486.6019166666666,0.0,0.0,10049.998739048282,0.0,0.0
2025-02-01,21,2993.09,0.0,0.0,0.3962,498.84833333333336,0.0,0.0,10049.998739048282,0.0,0.0
2025-02-01,22,3109.8584,0.0,0.0,0.3879,518.3097333333333,0.0,0.0,10049.998739048282,0.0,0.0
2025-02-01,23,3054.8008,0.0,0.0,0.3405,509.13346666666666,0.0,0.0,10049.998739048282,0.0,0.0
